log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,size,date,status,note
build_template_banks_3059589_42.out,mcz_td,build,0:1:37.15,1,26.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz26_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,218076848,2026-04-08,ok,
build_template_banks_3059589_43.out,mcz_td,build,0:1:39.6,1,26.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz26p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,208560716,2026-04-08,ok,
build_template_banks_3059589_44.out,mcz_td,build,0:1:37.95,1,27.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz27_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,199365725,2026-04-08,ok,
build_template_banks_3059589_45.out,mcz_td,build,0:1:37.96,1,27.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz27p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,193330873,2026-04-08,ok,
build_template_banks_3059589_46.out,mcz_td,build,0:1:36.86,1,28.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz28_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,184115653,2026-04-08,ok,
build_template_banks_3059589_47.out,mcz_td,build,0:1:32.03,1,28.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz28p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,177952694,2026-04-08,ok,
build_template_banks_3059589_48.out,mcz_td,build,0:1:34.05,1,29.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz29_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,169113709,2026-04-08,ok,
build_template_banks_3059589_49.out,mcz_td,build,0:1:31.67,1,29.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz29p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,163156047,2026-04-08,ok,
build_template_banks_3059589_50.out,mcz_td,build,0:1:30.81,1,30.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz30_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,156946889,2026-04-08,ok,
build_template_banks_3059589_51.out,mcz_td,build,0:1:32.92,1,30.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz30p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,150964901,2026-04-08,ok,
build_template_banks_3059589_52.out,mcz_td,build,0:1:27.15,1,31.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz31_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,144894672,2026-04-08,ok,
build_template_banks_3059589_53.out,mcz_td,build,0:1:30.06,1,31.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz31p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,138911823,2026-04-08,ok,
build_template_banks_3059589_54.out,mcz_td,build,0:1:24.63,1,32.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz32_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,133005760,2026-04-08,ok,
build_template_banks_3059589_55.out,mcz_td,build,0:1:26.54,1,32.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz32p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,127194186,2026-04-08,ok,
build_template_banks_3059589_56.out,mcz_td,build,0:1:30.61,1,33.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz33_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,121309553,2026-04-08,ok,
build_template_banks_3059589_57.out,mcz_td,build,0:1:29.21,1,33.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz33p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,118224369,2026-04-08,ok,
build_template_banks_3059589_58.out,mcz_td,build,0:1:25.41,1,34.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz34_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,112150842,2026-04-08,ok,
build_template_banks_3059589_59.out,mcz_td,build,0:1:26.76,1,34.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz34p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,105999284,2026-04-08,ok,
build_template_banks_3059589_60.out,mcz_td,build,0:1:21.41,1,35.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz35_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,102764073,2026-04-08,ok,
build_template_banks_3059589_61.out,mcz_td,build,0:1:22.72,1,35.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz35p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,96770490,2026-04-08,ok,
build_template_banks_3059589_62.out,mcz_td,build,0:1:25.28,1,36.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz36_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,93700539,2026-04-08,ok,
build_template_banks_3059589_63.out,mcz_td,build,0:1:20.37,1,36.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz36p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,87691186,2026-04-08,ok,
build_template_banks_3059589_64.out,mcz_td,build,0:1:18.86,1,37.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz37_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,84650105,2026-04-08,ok,
build_template_banks_3059589_65.out,mcz_td,build,0:1:23.11,1,37.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz37p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,81648240,2026-04-08,ok,
build_template_banks_3059589_66.out,mcz_td,build,0:1:24.26,1,38.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz38_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,75541910,2026-04-08,ok,
build_template_banks_3059589_67.out,mcz_td,build,0:1:22.02,1,38.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz38p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,72398943,2026-04-08,ok,
build_template_banks_3059589_68.out,mcz_td,build,0:1:19.63,1,39.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz39_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,69194505,2026-04-08,ok,
build_template_banks_3059589_69.out,mcz_td,build,0:1:21.69,1,39.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz39p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,62873407,2026-04-08,ok,
