log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
compute_mismatch_3061329_8.out,mcz_td,mismatch,0:5:44.72,1,9.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_9.out,mcz_td,mismatch,0:5:41.28,1,9.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_10.out,mcz_td,mismatch,0:6:1.28,1,10.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_11.out,mcz_td,mismatch,0:5:52.53,1,10.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_12.out,mcz_td,mismatch,0:5:49.15,1,11.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_13.out,mcz_td,mismatch,0:5:32.69,1,11.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_14.out,mcz_td,mismatch,0:5:32.66,1,12.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_15.out,mcz_td,mismatch,0:5:33.13,1,12.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_16.out,mcz_td,mismatch,0:5:31.18,1,13.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_17.out,mcz_td,mismatch,0:5:49.54,1,13.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_18.out,mcz_td,mismatch,0:5:37.4,1,14.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_19.out,mcz_td,mismatch,0:5:25.8,1,14.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_20.out,mcz_td,mismatch,0:5:25.84,1,15.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_21.out,mcz_td,mismatch,0:5:26.42,1,15.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_22.out,mcz_td,mismatch,0:5:31.46,1,16.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_23.out,mcz_td,mismatch,0:5:27.24,1,16.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_24.out,mcz_td,mismatch,0:5:28.16,1,17.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_25.out,mcz_td,mismatch,0:5:24.22,1,17.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_26.out,mcz_td,mismatch,0:5:19.86,1,18.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_27.out,mcz_td,mismatch,0:5:24.53,1,18.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
