log_file,type,total_time,mcz,mcz_min,mcz_max,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype
compute_mismatch_3053794_18.out,mismatch,0:5:10.45,58.0,58.0,58.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_19.out,mismatch,0:5:8.33,59.0,59.0,59.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_20.out,mismatch,0:5:9.31,60.0,60.0,60.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_21.out,mismatch,0:5:4.79,61.0,61.0,61.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_22.out,mismatch,0:5:18.52,62.0,62.0,62.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_23.out,mismatch,0:5:24.35,63.0,63.0,63.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_24.out,mismatch,0:5:25.26,64.0,64.0,64.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_25.out,mismatch,0:5:11.56,65.0,65.0,65.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_26.out,mismatch,0:5:11.48,66.0,66.0,66.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_27.out,mismatch,0:5:11.91,67.0,67.0,67.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_28.out,mismatch,0:5:14.44,68.0,68.0,68.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_29.out,mismatch,0:5:7.72,69.0,69.0,69.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_test_3053754_0.out,mismatch,0:59:4.05,90.0,80.0,90.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_test_3053755_0.out,mismatch,0:54:28.45,79.0,70.0,79.0,20,70,51,0,6,61,0,15,151,51,
