log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status,Note
build_template_banks_3132155_33.out,mcz_td,build,0:2:13.17,1,21.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz21p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_34.out,mcz_td,build,0:2:8.84,1,22.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz22_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_35.out,mcz_td,build,0:2:8.3,1,22.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz22p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_36.out,mcz_td,build,0:2:7.46,1,23.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz23_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_37.out,mcz_td,build,0:2:6.59,1,23.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz23p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_38.out,mcz_td,build,0:2:8.24,1,24.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz24_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_39.out,mcz_td,build,0:2:5.32,1,24.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz24p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_40.out,mcz_td,build,0:2:5.31,1,25.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz25_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_41.out,mcz_td,build,0:2:0.05,1,25.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz25p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_42.out,mcz_td,build,0:2:2.32,1,26.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz26_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
