log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,I_min,I_max,I_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
compute_mismatch_I_td_cubes_3137981_37.out,I_td,mismatch,0:5:42.96,1,15,,,,0.47,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p47_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_38.out,I_td,mismatch,0:5:40.67,1,15,,,,0.48,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p48_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_39.out,I_td,mismatch,0:5:30.17,1,15,,,,0.49,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p49_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_40.out,I_td,mismatch,0:5:23.51,1,15,,,,0.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_41.out,I_td,mismatch,0:5:25.6,1,15,,,,0.51,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p51_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_42.out,I_td,mismatch,0:5:35.49,1,15,,,,0.52,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p52_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_43.out,I_td,mismatch,0:5:34.49,1,15,,,,0.53,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p53_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_44.out,I_td,mismatch,0:5:43.03,1,15,,,,0.54,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p54_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_45.out,I_td,mismatch,0:5:32.48,1,15,,,,0.55,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p55_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_46.out,I_td,mismatch,0:5:24.73,1,15,,,,0.56,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p56_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_47.out,I_td,mismatch,0:5:38.61,1,15,,,,0.57,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p57_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_48.out,I_td,mismatch,0:5:38.96,1,15,,,,0.58,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p58_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
