log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
build_template_banks_3055124_31.out,mcz_td,build,0:2:11.14,1,20.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz20p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_32.out,mcz_td,build,0:2:11.97,1,21.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz21_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_33.out,mcz_td,build,0:2:5.08,1,21.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz21p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_34.out,mcz_td,build,0:2:5.07,1,22.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz22_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_35.out,mcz_td,build,0:2:7.28,1,22.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz22p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_36.out,mcz_td,build,0:2:7.73,1,23.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz23_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_37.out,mcz_td,build,0:2:5.38,1,23.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz23p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_38.out,mcz_td,build,0:2:1.64,1,24.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz24_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_39.out,mcz_td,build,0:2:5.21,1,24.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz24p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_40.out,mcz_td,build,0:2:0.01,1,25.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz25_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
