log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status
compute_mismatch_3053758_2.out,mcz_td,mismatch,0:6:36.75,1e-8,12.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz12_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_3.out,mcz_td,mismatch,0:6:22.57,1e-8,13.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz13_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_4.out,mcz_td,mismatch,0:6:30.51,1e-8,14.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz14_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_5.out,mcz_td,mismatch,0:6:9.63,1e-8,15.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz15_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_6.out,mcz_td,mismatch,0:6:22.92,1e-8,16.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz16_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_7.out,mcz_td,mismatch,0:6:1.6,1e-8,17.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz17_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_8.out,mcz_td,mismatch,0:5:51.23,1e-8,18.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz18_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_9.out,mcz_td,mismatch,0:5:43.78,1e-8,19.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz19_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_0.out,mcz_td,mismatch,0:5:55.77,1e-8,20.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz20_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_1.out,mcz_td,mismatch,0:5:39.17,1e-8,21.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz21_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
